HOLEID,TCU
17502388,0.061
17502389,0.049
17502390,0.035
17502391,0.029
17502392,0.03
17502393,0.032
17502394,0.084
17502395,0.029
17502396,0.026
17502397,0.092
17502398,0.048
17502399,0.047
17502400,0.036
17502401,0.045
17502402,0.037
17502403,0.018
17502404,0.016
17502405,0.017
17502406,0.029
17502407,0.028
17502408,0.029
17502409,0.024
17502410,0.029
17502411,0.023
17502412,0.028
17502428,0.059
17502429,0.039
17502430,0.042
17502431,0.041
17502432,0.036
17502433,0.054
17502461,0.056
17502462,0.078
17502463,0.062
17502464,0.043
17502465,0.042
17502466,0.05
17507024,0.13
17507025,0.155
17507026,0.123
17507027,0.153
17507028,0.21
17507029,0.198
17507030,0.214
17507031,0.162
17507032,0.128
17507033,0.156
17507034,0.117
17507035,0.139
17507036,0.16
17507037,0.128
17507038,0.133
17507039,0.138
17507040,0.118
17507041,0.153
17507042,0.226
17507044,0.14
17507045,0.162
17507046,0.194
17507047,0.189
17507049,0.204
17507050,0.131
17507051,0.151
17507052,0.165
17507053,0.161
17507054,0.153
17507055,0.153
17507056,0.143
17507057,0.116
17507058,0.136
17507059,0.153
17507060,0.155
17507061,0.123
17507062,0.174
17507063,0.215
17507064,0.22
17507066,0.185
17507067,0.224
17507068,0.161
17507069,0.247
17507071,0.171
17507072,0.133
17507073,0.177
17507074,0.21
17507075,0.234
17507076,0.191
17507077,0.133
17507078,0.146
17507043,0.159
17507048,0.191
17507065,0.285
17507070,0.23
17507079,0.182
17507080,0.212
17507081,0.148
17507082,0.166
17507083,0.169
17507084,0.181
17507085,0.146
17507086,0.153
17507087,0.161
17507088,0.355
17507089,0.175
17507090,0.179
17507091,0.309
17507092,0.146
17507093,0.159
17507094,0.101
17507095,0.162
17507096,0.173
17507097,0.121
17507098,0.156
17507099,0.133
17507100,0.177
17507126,0.202
17507127,0.279
17507128,0.251
17507129,0.161
17507130,0.137
17507131,0.142
17507132,0.147
17507133,0.251
17507134,0.183
17507135,0.177
17507136,0.153
17507137,0.154
17507138,0.191
17507139,0.157
17507140,0.17
17507141,0.117
17507142,0.204
17507143,0.163
17507144,0.22
17507145,0.149
17507146,0.155
17507147,0.2
17507148,0.161
17507149,0.211
17507150,0.195
17507151,0.147
17507152,0.132
17507153,0.206
17507154,0.187
17507155,0.197
17507156,0.215
17507157,0.171
17507158,0.185
17507159,0.17
17507160,0.171
17507161,0.122
17507190,0.108
17507191,0.173
17507192,0.152
17507193,0.145
17507199,0.309
17507200,0.21
17507208,0.124
17507209,0.159
17507210,0.123
17507211,0.139
17507212,0.173
17507222,0.16
17507223,0.234
17507187,0.109
17507188,0.101
17507189,0.133
17507194,0.113
17507195,0.104
17507196,0.115
17507197,0.117
17507198,0.226
17507201,0.159
17507202,0.136
17507203,0.172
17507204,0.11
17507205,0.139
17507206,0.191
17507207,0.115
17507213,0.13
17507214,0.141
17507215,0.187
17507216,0.112
17507217,0.096
17507218,0.225
17507219,0.144
17507220,0.159
17507221,0.201
17507376,0.175
17507377,0.15
17507378,0.221
17507379,0.192
17507380,0.269
17507381,0.162
17507382,0.169
17507383,0.246
17507390,0.2
17507391,0.187
17507392,0.2
17507393,0.232
17507394,0.2
17507399,0.283
17507249,0.087
17507250,0.129
17507253,0.107
17507254,0.222
17507255,0.211
17507256,0.159
17507259,0.167
17507260,0.136
17507266,0.1
17507270,0.136
17507271,0.157
17507286,0.124
17507287,0.174
17507251,0.118
17507252,0.101
17507257,0.141
17507258,0.107
17507261,0.139
17507262,0.093
17507263,0.073
17507264,0.071
17507265,0.096
17507267,0.102
17507268,0.129
17507269,0.132
17507272,0.115
17507273,0.1
17507274,0.11
17507275,0.089
17507276,0.074
17507277,0.102
17507278,0.112
17507279,0.082
17507280,0.114
17507302,0.161
17507303,0.166
17507318,0.142
17507319,0.115
17507384,0.161
17507385,0.222
17507386,0.167
17507387,0.169
17507388,0.169
17507389,0.163
17507395,0.194
17507396,0.206
17507397,0.248
17507398,0.217
17507400,0.19
17507401,0.154
17507402,0.246
17507403,0.195
17507404,0.165
17507405,0.184
17507406,0.237
17507407,0.135
17507408,0.184
17507409,0.294
17507410,0.176
17507411,0.315
17507412,0.171
17507413,0.189
17507414,0.166
17507415,0.156
17507416,0.237
17507417,0.132
17507418,0.158
17507419,0.134
17507420,0.108
17507421,0.226
17507422,0.15
17507423,0.144
17507424,0.132
17507425,0.167
17507426,0.24
17507427,0.2
17507428,0.205
17507429,0.165
17507430,0.238
17507431,0.208
17507432,0.243
17507281,0.129
17507282,0.122
17507283,0.155
17507284,0.158
17507285,0.141
17507288,0.158
17507289,0.149
17507290,0.155
17507291,0.147
17507292,0.085
17507298,0.114
17507299,0.16
17507300,0.166
17507301,0.13
17507304,0.103
17507305,0.133
17507306,0.111
17507307,0.13
17507315,0.146
17507316,0.156
17507317,0.172
17507320,0.13
17507321,0.148
17507322,0.178
17507433,0.164
17507434,0.252
17507435,0.307
17507436,0.206
17507437,0.12
17507438,0.14
17507439,0.148
17507440,0.175
17507441,0.312
17507442,0.163
17507443,0.105
17507444,0.17
17507445,0.176
17507446,0.151
17507447,0.167
17507448,0.165
17507449,0.219
17507450,0.153
17507451,0.223
17507452,0.128
17507453,0.114
17507454,0.132
17507455,0.178
17507456,0.182
17507457,0.158
17507458,0.111
17507459,0.119
17507460,0.173
17507461,0.164
17507462,0.193
17507463,0.161
17507293,0.113
17507294,0.129
17507295,0.154
17507296,0.127
17507297,0.129
17507308,0.141
17507309,0.118
17507310,0.118
17507311,0.12
17507312,0.141
17507313,0.169
17507314,0.144
17507323,0.212
17507324,0.162
17507325,0.166
17507326,0.254
17507327,0.164
17507328,0.158
17507329,0.131
17507330,0.166
17507331,0.147
17507332,0.182
17507333,0.153
17507334,0.164
17507335,0.112
17507336,0.137
17507337,0.218
17507338,0.138
17507339,0.125
17507340,0.132
17507341,0.168
17507342,0.208
17507343,0.211
17507344,0.226
17507345,0.15
17507346,0.127
17507347,0.129
17507348,0.132
17507349,0.141
17507350,0.119
17507489,0.217
17507490,0.134
17507491,0.144
17507492,0.141
17507493,0.209
17507494,0.13
17507495,0.159
17507496,0.201
17507497,0.155
17507505,0.179
17507506,0.124
17507507,0.124
17507508,0.173
17507535,0.164
17507498,0.165
17507499,0.226
17507500,0.197
17507501,0.147
17507502,0.166
17507503,0.179
17507504,0.138
17507509,0.134
17507510,0.16
17507511,0.153
17507512,0.19
17507513,0.199
17507514,0.165
17507515,0.163
17507516,0.171
17507517,0.182
17507518,0.182
17507519,0.152
17507520,0.14
17507521,0.148
17507522,0.155
17507523,0.164
17507524,0.153
17507525,0.177
17507526,0.216
17507527,0.208
17507528,0.183
17507529,0.146
17507530,0.193
17507531,0.125
17507532,0.132
17507533,0.167
17507534,0.168
17507536,0.26
17507537,0.186
17507538,0.152
17507539,0.198
17507540,0.107
17507541,0.234
17507542,0.159
17507543,0.161
17507544,0.262
17507545,0.168
17507546,0.182
17507547,0.233
17507548,0.2
17507549,0.145
17507550,0.165
17507551,0.166
17507577,0.107
17507578,0.092
17507579,0.083
17507580,0.098
17507581,0.114
17507582,0.084
17507583,0.107
17507588,0.104
17507589,0.098
17507590,0.101
17507591,0.112
17507592,0.097
17507593,0.088
17507594,0.09
17507595,0.117
17507596,0.092
17507597,0.101
17507598,0.11
17507599,0.077
17507610,0.1
17507611,0.102
17507612,0.097
17507613,0.1
17507614,0.087
17507615,0.092
17507616,0.081
17507617,0.104
17507618,0.14
17507619,0.137
17507620,0.132
17507621,0.114
17507632,0.138
17507633,0.131
17507634,0.115
17507635,0.124
17507636,0.115
17507637,0.102
17507638,0.104
17507639,0.113
17507640,0.118
17507641,0.107
17507642,0.137
17507643,0.126
17507655,0.124
17507656,0.168
17507657,0.096
17507658,0.131
17507659,0.118
17507584,0.103
17507585,0.102
17507586,0.099
17507587,0.087
17507600,0.104
17507601,0.12
17507608,0.123
17507609,0.112
17507622,0.101
17507631,0.118
17507644,0.113
17507653,0.12
17507654,0.127
17507660,0.155
17507661,0.117
17507662,0.109
17507663,0.161
17507664,0.102
17507665,0.11
17507666,0.113
17507602,0.117
17507603,0.101
17507604,0.096
17507605,0.09
17507606,0.097
17507607,0.094
17507623,0.118
17507624,0.102
17507625,0.125
17507626,0.102
17507627,0.107
17507628,0.1
17507629,0.098
17507630,0.095
17507645,0.107
17507646,0.118
17507647,0.117
17507648,0.105
17507649,0.136
17507650,0.1
17507651,0.111
17507652,0.107
17507667,0.12
17507668,0.17
17507669,0.153
17507670,0.137
17507696,0.145
17507697,0.142
17507698,0.204
17507699,0.181
17507700,0.163
17507701,0.255
17507702,0.221
17507703,0.149
17507704,0.158
17507705,0.156
17507706,0.217
17507707,0.212
17507708,0.284
17507709,0.211
17507710,0.223
17507711,0.134
17507712,0.177
17507713,0.113
17507714,0.179
17507715,0.144
17507716,0.111
17507717,0.141
17507718,0.178
17507719,0.162
17507720,0.246
17507721,0.177
17507722,0.195
17507723,0.167
17507724,0.155
17507725,0.112
17507726,0.191
17507727,0.212
17507728,0.157
17507753,0.125
17507754,0.129
17507755,0.159
17507756,0.163
17507757,0.138
17507758,0.163
17507759,0.126
17507760,0.144
17507761,0.162
17507729,0.18
17507730,0.176
17507731,0.13
17507732,0.136
17507733,0.151
17507734,0.129
17507735,0.147
17507736,0.203
17507737,0.19
17507738,0.155
17507739,0.189
17507740,0.201
17507741,0.171
17507742,0.199
17507743,0.164
17507744,0.193
17507745,0.174
17507746,0.143
17507747,0.081
17507748,0.104
17507749,0.111
17507750,0.097
17507751,0.089
17507752,0.131
17507762,0.115
17507763,0.137
17507764,0.111
17507765,0.105
17507766,0.109
17507767,0.118
17507768,0.12
17507769,0.116
17507770,0.14
17507771,0.126
17507772,0.113
17507773,0.108
17507774,0.152
17507775,0.122
17507776,0.146
17507777,0.138
17507778,0.136
17507779,0.152
17507780,0.187
17507781,0.152
17507782,0.141
17507783,0.153
17507855,0.185
17507856,0.12
17507809,0.213
17507810,0.144
17507811,0.172
17507812,0.147
17507813,0.133
17507814,0.146
17507815,0.106
17507816,0.132
17507817,0.107
17507818,0.189
17507819,0.132
17507820,0.188
17507821,0.122
17507822,0.102
17507823,0.133
17507824,0.178
17507825,0.149
17507826,0.154
17507827,0.209
17507828,0.164
17507829,0.145
17507830,0.141
17507831,0.142
17507832,0.153
17507833,0.103
17507834,0.109
17507835,0.141
17507836,0.113
17507837,0.117
17507838,0.152
17507839,0.132
17507840,0.123
17507841,0.121
17507842,0.142
17507843,0.124
17507844,0.137
17507845,0.141
17507846,0.146
17507847,0.145
17507848,0.142
17507849,0.129
17507850,0.136
17507851,0.136
17507852,0.125
17507853,0.127
17507854,0.149
17507891,0.109
17507892,0.141
17507893,0.197
17507894,0.104
17507895,0.114
17507917,0.128
17507979,0.169
17507980,0.11
17507981,0.152
17507982,0.128
17507983,0.107
17507984,0.107
17507985,0.133
17507986,0.186
17507987,0.156
17507988,0.106
17507989,0.115
17507990,0.108
17507991,0.137
17507992,0.132
17507993,0.259
17507994,0.192
17508004,0.108
17508005,0.119
17508006,0.148
17508007,0.137
17508008,0.112
17508009,0.129
17507977,0.189
17507978,0.15
17507995,0.124
17507996,0.15
17507997,0.162
17508001,0.128
17508002,0.109
17508003,0.14
17508010,0.114
17508011,0.102
17508012,0.093
17508013,0.139
17508014,0.137
17508015,0.378
17508016,0.23
17508017,0.106
17508018,0.103
17508042,0.115
17508043,0.115
17507998,0.0
17507999,0.0
17508000,0.0
17508019,0.0
17508020,0.0
17508021,0.0
17508022,0.0
17508023,0.0
17508024,0.0
17508025,0.0
17508026,0.0
17508027,0.0
17508028,0.0
17508029,0.0
17508030,0.0
17508031,0.0
17508032,0.0
17508033,0.0
17508034,0.0
17508035,0.0
17508036,0.0
17508037,0.0
17508038,0.0
17508039,0.0
17508040,0.0
17508041,0.0
17508069,0.0
17508070,0.0
17508079,0.0
17508080,0.0
17508081,0.0
17508082,0.0
17508083,0.0
17508084,0.0
17507882,0.077
17507883,0.1
17507884,0.083
17507885,0.086
17507886,0.071
17507887,0.064
17507888,0.082
17507889,0.116
17507890,0.104
17507896,0.094
17507897,0.118
17507898,0.086
17507899,0.075
17507900,0.078
17507901,0.096
17507902,0.085
17507903,0.092
17507904,0.088
17507905,0.077
17507906,0.092
17507907,0.147
17507908,0.093
17507909,0.086
17507910,0.078
17507911,0.086
17507912,0.076
17507913,0.098
17507914,0.097
17507915,0.191
17507916,0.126
17507918,0.14
17507919,0.103
17507920,0.137
17507921,0.105
17507922,0.097
17507923,0.091
17507924,0.068
17507925,0.094
17507926,0.077
17507927,0.096
17507928,0.106
17507929,0.078
17507930,0.106
17507931,0.091
17507932,0.093
17507933,0.145
17507934,0.158
17507935,0.13
17507936,0.113
17507937,0.107
17507938,0.109
17507939,0.106
17507940,0.106
17507941,0.145
17507942,0.095
17507943,0.083
17507944,0.101
17507945,0.092
17507946,0.098
17507947,0.088
17507948,0.071
17507949,0.086
17507950,0.13
17507951,0.103
17507952,0.0
17507953,0.0
17508078,0.0
17508085,0.0
17508086,0.0
17508087,0.0
17508108,0.0
17508109,0.0
17508110,0.0
17508111,0.0
17508112,0.0
17508113,0.0
17508071,0.0
17508077,0.0
17508088,0.0
17508099,0.0
17508100,0.0
17508101,0.0
17508102,0.0
17508103,0.0
17508104,0.0
17508105,0.0
17508106,0.0
17508107,0.0
17508114,0.0
17508115,0.0
17508116,0.0
17508117,0.0
17508118,0.0
17508119,0.0
17508120,0.0
17508121,0.0
17508122,0.0
17508123,0.0
17508124,0.0
17508125,0.0
17508126,0.0
17508127,0.0
17508128,0.0
17508072,0.171
17508073,0.173
17508074,0.113
17508075,0.103
17508076,0.097
17508089,0.112
17508090,0.137
17508091,0.135
17508092,0.134
17508129,0.09
17508130,0.138
17508131,0.114
17508132,0.081
17508093,0.128
17508094,0.122
17508095,0.136
17508096,0.133
17508097,0.153
17508098,0.139
17508133,0.099
17508134,0.13
17508135,0.132
17508136,0.093
17508137,0.149
18002527,0.034
18002528,0.043
18002529,0.08
18002530,0.05
18002531,0.16
18002532,0.058
18002533,0.072
18002534,0.075
18002535,0.036
18002536,0.039
18002537,0.046
18002538,0.051
18002539,0.07
18002540,0.056
18002541,0.029
18002542,0.049
18002543,0.053
18002544,0.056
18002545,0.036
18002546,0.089
18002547,0.037
18002548,0.04
18002549,0.044
18002550,0.05
18002551,0.009
18002552,0.019
18002553,0.031
18002554,0.013
18002555,0.018
18002563,0.013
18002564,0.012
18002568,0.013
18002569,0.017
18002570,0.017
18002571,0.016
18002572,0.035
18002573,0.014
18002574,0.036
18002575,0.032
18002576,0.021
18002577,0.035
18002578,0.048
18002579,0.056
18002580,0.049
18002581,0.029
18002582,0.067
18002583,0.029
18002584,0.045
18002585,0.023
18002586,0.023
18002587,0.013
18002588,0.022
18002589,0.031
18002590,0.035
18002591,0.054
18002592,0.015
18002593,0.052
18002594,0.03
18002595,0.048
18002596,0.036
18002597,0.043
18002598,0.048
18002599,0.058
18002600,0.013
18002601,0.013
18002602,0.031
18002607,0.012
18002608,0.014
18002609,0.014
18002610,0.014
18002613,0.014
18002614,0.013
18002615,0.053
18002616,0.022
18002617,0.064
18002618,0.008
18002619,0.01
18002620,0.011
18002621,0.016
18002622,0.016
18002623,0.01
18002624,0.018
18002625,0.014
18002626,0.017
18002627,0.022
18002628,0.009
18002629,0.02
18002630,0.03
18002631,0.04
18002632,0.043
18002633,0.053
18002634,0.034
18002635,0.021
18002636,0.023
18002637,0.006
18002638,0.011
18002556,0.0
18002557,0.0
18002558,0.0
18002559,0.0
18002560,0.0
18002561,0.0
18002565,0.0
18002566,0.0
18002567,0.0
18002603,0.0
18002604,0.0
18002605,0.0
18002606,0.0
18003239,0.142
18003240,0.118
18003241,0.122
18003242,0.101
18003243,0.097
18003264,0.13
18003265,0.109
18003266,0.149
18003283,0.152
18003284,0.123
18003285,0.131
18003286,0.146
18003287,0.097
18003288,0.13
18003289,0.125
18003306,0.099
18003307,0.108
18003308,0.15
18003309,0.12
18003310,0.104
18003311,0.144
18003312,0.095
18003313,0.122
18003314,0.163
18003315,0.092
18003316,0.104
18003327,0.092
18003328,0.108
18003329,0.113
18003330,0.097
18003331,0.095
18003332,0.081
18003333,0.093
18003267,0.096
18003268,0.109
18003273,0.113
18003274,0.124
18003275,0.094
18003276,0.135
18003277,0.13
18003278,0.139
18003282,0.101
18003290,0.119
18003292,0.103
18003293,0.196
18003294,0.161
18003295,0.144
18003296,0.181
18003297,0.158
18003298,0.139
18003299,0.086
18003300,0.119
18003301,0.121
18003302,0.106
18003303,0.116
18003304,0.092
18003317,0.098
18003318,0.1
18003319,0.126
18003320,0.108
18003321,0.091
18003322,0.111
18003323,0.143
18003324,0.087
18003325,0.114
18003326,0.083
18005911,0.093
18005912,0.152
18005913,0.165
18005914,0.147
18005915,0.069
18005916,0.081
18005917,0.134
18005918,0.094
18005919,0.107
18005920,0.144
18005921,0.144
18005922,0.321
18005923,0.17
18005924,0.129
18005925,0.149
18005926,0.191
18005927,0.119
18005928,0.165
18005929,0.095
18005930,0.078
18005931,0.138
18005932,0.061
18005933,0.09
18005938,0.09
18005939,0.077
18005940,0.103
18005941,0.079
18005942,0.102
18005943,0.077
18005944,0.116
18005945,0.146
18005946,0.215
18005947,0.142
18005948,0.14
18005949,0.125
18005950,0.078
18005951,0.101
18005952,0.078
18005953,0.112
18005954,0.107
18005955,0.143
18005956,0.212
18005957,0.224
18005958,0.18
18005959,0.205
18005963,0.092
18005964,0.128
18005965,0.087
18005974,0.11
18005975,0.063
18005976,0.09
18005980,0.175
18005981,0.215
18005982,0.152
18005983,0.167
18005984,0.158
18005985,0.103
18005986,0.078
18005987,0.088
18005988,0.063
18005934,0.097
18005935,0.105
18005936,0.119
18005937,0.094
18005960,0.136
18005961,0.059
18005962,0.068
18005966,0.137
18005967,0.069
18005968,0.075
18005969,0.173
18005970,0.089
18005971,0.121
18005972,0.121
18005973,0.068
18005977,0.065
18005978,0.095
18005979,0.101
18006014,0.079
18006015,0.098
18006016,0.066
18006017,0.123
18006018,0.204
18006019,0.169
18006020,0.205
18006021,0.161
18006022,0.23
18006023,0.245
18006024,0.19
18006025,0.144
18006026,0.084
18006027,0.131
18006028,0.091
18006029,0.142
18006030,0.108
18006031,0.159
18006032,0.07
18006033,0.078
18006034,0.08
18006035,0.061
18006036,0.073
18006037,0.079
18006038,0.069
18006039,0.081
18006040,0.091
18006041,0.121
18006042,0.095
18006043,0.141
18006044,0.084
18006045,0.076
18006046,0.105
18006047,0.202
18006048,0.186
18006049,0.138
18006050,0.192
18006051,0.097
18006052,0.141
18006053,0.17
18006054,0.14
18006055,0.119
18006056,0.185
18006057,0.194
18006058,0.066
18006059,0.093
18006060,0.107
18006061,0.071
18006062,0.074
18006063,0.071
18006064,0.09
18006065,0.103
18006066,0.121
18006067,0.068
18006068,0.125
18006069,0.151
18006070,0.112
18006071,0.151
18006072,0.206
18006073,0.184
18006074,0.204
18006075,0.187
18006076,0.242
18006077,0.206
18006078,0.162
18006079,0.152
18006080,0.153
18006081,0.07
18006082,0.108
18006083,0.095
18006084,0.093
18006085,0.089
18006086,0.091
18006087,0.078
18006088,0.116
18006089,0.083
18006090,0.089
18006091,0.082
18006092,0.082
9502021,0.143
9502022,0.464
9502023,0.158
9502066,0.267
9502067,0.172
9502068,0.133
9502069,0.169
9502070,0.166
9502071,0.154
9502072,0.162
9502123,0.158
9502124,0.237
9502125,0.182
9502127,0.206
9502128,0.145
9502129,0.229
9502187,0.212
9502188,0.258
9502189,0.278
9502000,0.103
9502001,0.064
9502002,0.083
9502003,0.064
9502004,0.086
9502005,0.044
9502006,0.142
9502007,0.044
9502008,0.109
9502009,0.043
9502010,0.053
9502011,0.053
9502012,0.627
9502013,0.122
9502014,0.074
9502015,0.077
9502016,0.115
9502017,0.067
9502018,0.119
9502019,0.092
9502020,0.126
9502024,0.099
9502025,0.109
9502026,0.07
9502027,0.046
9502028,0.074
9502029,0.051
9502030,0.119
9502031,0.113
9502032,0.088
9502033,0.117
9502034,0.073
9502035,0.033
9502036,0.053
9502037,0.068
9502038,0.11
9502039,0.033
9502040,0.137
9502050,0.051
9502051,0.07
9502052,0.036
9502053,0.054
9502054,0.083
9502055,0.055
9502056,0.114
9502057,0.053
9502058,0.111
9502059,0.079
9502060,0.071
9502061,0.145
9502062,0.104
9502063,0.116
9502064,0.14
9502065,0.335
9502073,0.244
9502074,0.151
9502075,0.131
9502076,0.072
9502077,0.358
9502078,0.093
9502079,0.137
9502080,0.074
9502081,0.068
9502082,0.075
9502083,0.056
9502084,0.04
9502085,0.086
9502086,0.184
9502087,0.069
9502108,0.213
9502109,0.076
9502110,0.093
9502111,0.336
9502112,0.0
9502113,0.274
9502114,0.295
9502115,0.378
9502116,0.558
9502117,0.197
9502118,0.217
9502119,0.191
9502120,0.283
9502121,0.206
9502122,0.251
9502126,0.159
9502130,0.334
9502131,0.268
9502132,0.485
9502133,0.0
9502134,0.0
9502135,0.0
9502136,0.0
9502137,0.0
9502138,0.0
9502139,0.0
9502140,0.0
9502141,0.0
9502142,0.0
9502143,0.0
9502174,0.0
9502175,0.0
9502176,0.0
9502177,0.0
9502178,0.0
9502179,0.0
9502180,0.0
9502181,0.0
9502182,0.0
9502183,0.0
9502184,0.0
9502185,0.0
9502186,0.0
9502190,0.0
9502198,0.0
9502199,0.0
9502200,0.0
9502201,0.0
9502202,0.0
9502203,0.0
9502204,0.0
9502205,0.0
9502206,0.0
9502207,0.0
9502208,0.0
9502209,0.0
9502248,0.0
9502249,0.0
9502250,0.0
9502251,0.0
9502252,0.0
9502253,0.0
9502254,0.0
9502255,0.0
9502256,0.0
9502268,0.0
9502269,0.0
9502270,0.0
9502271,0.0
9502272,0.0
9502288,0.0
9502289,0.0
9502041,0.122
9502042,0.109
9502043,0.077
9502047,0.05
9502048,0.142
9502049,0.047
9502088,0.041
9502089,0.085
9502090,0.158
9502091,0.12
9502103,0.091
9502104,0.091
9502105,0.099
9502106,0.081
9502107,0.086
9502144,0.439
9502145,0.583
9502146,0.103
9502147,0.077
9502148,0.071
9502149,0.114
9502167,0.066
9502168,0.415
9502169,0.616
9502170,0.166
9502171,0.592
9502172,0.467
9502173,0.345
9502197,0.443
9502210,0.418
9502211,0.538
9502212,0.422
9502213,0.54
9502214,0.614
9502240,1.082
9502241,0.757
9502242,0.461
9502243,0.611
9502244,0.496
9502245,0.358
9502246,0.406
9502247,0.336
9502257,0.138
9502258,0.103
9502264,0.115
9502265,0.256
9502266,0.113
9502267,0.154
9502290,0.172
9502292,0.157
9502293,0.232
9502297,0.203
9502307,0.189
9502193,0.0
9502194,0.0
9502195,0.0
9502196,0.0
9502215,0.0
9502216,0.0
9502217,0.0
9502238,0.0
9502239,0.0
9502259,0.0
9502260,0.0
9502291,0.0
9502298,0.0
9502299,0.0
9502300,0.0
9502301,0.0
9502302,0.0
9502303,0.0
9502304,0.0
9502305,0.0
9502306,0.0
